10000.0,25
20000.0,1308
30000.0,1838
40000.0,486
50000.0,133
60000.0,44
70000.0,31
80000.0,27
90000.0,30
100000.0,47
110000.0,55
120000.0,60
130000.0,46
140000.0,566
150000.0,687
160000.0,61
170000.0,69
180000.0,85
190000.0,66
200000.0,87
210000.0,91
220000.0,134
230000.0,176
240000.0,216
250000.0,266
260000.0,268
270000.0,270
280000.0,319
290000.0,3411
300000.0,385
310000.0,465
320000.0,666
330000.0,837
340000.0,1157
350000.0,1262
360000.0,1321
370000.0,1294
380000.0,1050
390000.0,807
400000.0,662
410000.0,410
420000.0,300
430000.0,212
440000.0,148
450000.0,137
460000.0,106
470000.0,124
480000.0,97
490000.0,98
500000.0,93
510000.0,94
520000.0,97
530000.0,113
540000.0,106
550000.0,131
560000.0,134
570000.0,134
580000.0,154
590000.0,133
600000.0,172
610000.0,131
620000.0,140
630000.0,173
640000.0,151
650000.0,146
660000.0,142
670000.0,139
680000.0,136
690000.0,134
700000.0,141
710000.0,107
720000.0,123
730000.0,90
740000.0,108
750000.0,106
760000.0,104
770000.0,102
780000.0,91
790000.0,103
800000.0,100
810000.0,88
820000.0,90
830000.0,75
840000.0,74
850000.0,90
860000.0,69
870000.0,766
880000.0,738
890000.0,767
900000.0,50
910000.0,56
920000.0,62
930000.0,7
940000.0,51
950000.0,63
960000.0,66
970000.0,63
980000.0,58
990000.0,62
1000000.0,49
1010000.0,61
1020000.0,50
1030000.0,43
1040000.0,72
1050000.0,54
1060000.0,66
1070000.0,48
1080000.0,39
1090000.0,56
1100000.0,61
1110000.0,52
1120000.0,59
1130000.0,42
1140000.0,54
1150000.0,61
1160000.0,60
1170000.0,48
1180000.0,48
1190000.0,34
1200000.0,55
1210000.0,48
1220000.0,47
1230000.0,43
1240000.0,58
1250000.0,33
1260000.0,51
1270000.0,45
1280000.0,48
1290000.0,38
1300000.0,42
1310000.0,47
1320000.0,34
1330000.0,38
1340000.0,47
1350000.0,35
1360000.0,45
1370000.0,29
1380000.0,36
1390000.0,39
1400000.0,41
1410000.0,35
1420000.0,40
1430000.0,38
1440000.0,35
1450000.0,31
1460000.0,39
1470000.0,34
1480000.0,31
1490000.0,37
1500000.0,40
1510000.0,28
1520000.0,46
1530000.0,40
